name,sex,number_acting_projects,academy_award_noms 
Leonardo DiCaprio,male,42,5
Tom Hanks,male,87,5
Meryl Streep ,female,81,21
Denzel Washington,male,56,8
Morgan Freeman,male,122,5
Sean Penn,male,65,5
Christian Bale ,male,51,3
Robert DeNiro ,male,113,7
Jennifer Lawrence ,female,30,4
Cate Blanchett,female,69,6
Kevin Spacey ,male,83,2
Brie Larson,female,57,1
Matt McConaughey,male,64,1
Michael Fassbender,male,59,2
Jared Leto ,male,38,1
Kate Winslet,female,55,7
Amy Adams,female,58,5
Michelle Williams,female,53,4
Colin Firth ,male,83,2
Eddie Redmayne,male,36,2
Julianne Moore,female,89,4
George Clooney,male,80,6
Matt Damon ,male,79,5
Anthony Hopkins,male,131,4
Bradley Cooper,male,60,3
Christoph Waltz,male,112,2
Viola Davis,female,78,3
Benicio Del Toro,male,54,2
Chiwetel Ejiofor,male,49,1
Bryan Cranston,male,152,1
Javier Bardem,male,61,3
Alicia Vikander,female,36,1
Steve Carrel ,male,73,1
Jamie Foxx,male,60,2
Jessica Chastain,female,50,2
Tom Hardy ,male,55,1
Charlize Theron,female,54,2
Mark Rylance,male,29,1
Emma Stone,female,42,2
Michael Keaton ,male,77,1
Johnny Depp,male,85,3
J.K Simmons,male,184,1
Robert Downey Jr. ,male,90,2
Gary Oldman,male,92,2
Anne Hathaway,female,45,2
Nicole Kidman,female,81,4
Angelina Jolie ,femlae,48,3
Rachel Weisz,female,57,1
Samuel Jackson,male,176,1
Jeremy Renner,male,55,2
Naomi Watts,female,79,2
Timotee Chalamet ,male,23,1
Sally Hawkins,female,52,2
Frances McDormand,female,63,5
Margot Robbie,female,31,1
Saoirse Ronan,female,28,3
Daniel Kaluuya,male,40,1
Forest Whitaker,male,124,1
Jeff Bridges,male,89,7
Carey Mulligan,female,28,1
Octavia Spencer,female,126,3
Woody Harrelson,male,93,3
Christopher Plummer,male,213,3
Mary J. Blige,female,29,2
Laurie Metcalf ,female,79,1
Tommy Lee Jones,male,82,4
Robert Duvall,male,143,7
Joe Pesci,male,39,2
Michael Caine,male,167,6
Natalie Portman,female,59,3
Ruth Negga,female,38,1
Naomie Harris,female,44,1
Dev Patel,male,18,1
Michael Shannon,male,84,2
Russel Crowe,male,57,3
Lupita Nyong'o,female,21,1
Marion Cotillard,female,83,2
Annette Bening,female,42,4
Penelope Cruz,female,71,3
Dustin Hoffman,male,84,7
Peter Dinklage,male ,75,1
Will Smith ,male,54,2
Laura Dern,female,86,2
Kathy Bates,female,123,3
James McAvoy,male,50,1
Ed Harris,male,101,4
James Franco,male ,148,1
Rooney Mara,female,32,2
Charlotte Rampling,female,124,1
Jennifer Jason Leigh,female,97,1
Rachel McAdams,female,36,1
Felicity Jones,female,42,1
Mark Ruffalo ,male ,67,3
Keria Knightley ,female ,56,2
Judi Dench ,female,122,7
Sally Field,female,64,3
Julia Roberts,female,60,4
June Squibb,female,73,1
Phillip Seymour Hoffman,male,65,4
Jacki Weaver,female,79,2
